epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568493145500,2019-09-14T16:32:25.500,19.539,99151.906
1568493145635,2019-09-14T16:32:25.635,19.674,99164.016
1568493145771,2019-09-14T16:32:25.771,19.810,99158.813
1568493145908,2019-09-14T16:32:25.908,19.947,99165.383
1568493146044,2019-09-14T16:32:26.044,20.083,99158.875
1568493146179,2019-09-14T16:32:26.179,20.218,99169.219
1568493146315,2019-09-14T16:32:26.315,20.354,99156.211
1568493146450,2019-09-14T16:32:26.450,20.489,99155.813
1568493146586,2019-09-14T16:32:26.586,20.625,99161.945
1568493146722,2019-09-14T16:32:26.722,20.761,99159.781
1568493146857,2019-09-14T16:32:26.857,20.896,99161.484
1568493146993,2019-09-14T16:32:26.993,21.032,99161.016
1568493147129,2019-09-14T16:32:27.129,21.168,99158.875
1568493147264,2019-09-14T16:32:27.264,21.303,99159.719
1568493147400,2019-09-14T16:32:27.400,21.439,99166.617
1568493147535,2019-09-14T16:32:27.535,21.574,99160.953
1568493147671,2019-09-14T16:32:27.671,21.710,99155.273
1568493147808,2019-09-14T16:32:27.808,21.847,99158.750
1568493147942,2019-09-14T16:32:27.942,21.981,99160.406
1568493148079,2019-09-14T16:32:28.079,22.118,99158.281
1568493148215,2019-09-14T16:32:28.215,22.254,99159.984
1568493148349,2019-09-14T16:32:28.349,22.388,99159.984
1568493148486,2019-09-14T16:32:28.486,22.525,99159.516
1568493148622,2019-09-14T16:32:28.622,22.661,99159.047
1568493148757,2019-09-14T16:32:28.757,22.796,99159.984
1568493148893,2019-09-14T16:32:28.893,22.932,99159.875
1568493149029,2019-09-14T16:32:29.029,23.068,99155.977
1568493149164,2019-09-14T16:32:29.164,23.203,99161.641
1568493149300,2019-09-14T16:32:29.300,23.339,99158.211
1568493149435,2019-09-14T16:32:29.435,23.474,99162.484
1568493149571,2019-09-14T16:32:29.571,23.610,99155.609
1568493149707,2019-09-14T16:32:29.707,23.746,99159.875
1568493149842,2019-09-14T16:32:29.842,23.881,99161.641
1568493149978,2019-09-14T16:32:29.978,24.017,99161.172
1568493150115,2019-09-14T16:32:30.115,24.154,99159.047
1568493150249,2019-09-14T16:32:30.249,24.288,99153.375
1568493150386,2019-09-14T16:32:30.386,24.425,99156.844
1568493150520,2019-09-14T16:32:30.520,24.559,99154.313
1568493150657,2019-09-14T16:32:30.657,24.696,99159.875
1568493150793,2019-09-14T16:32:30.793,24.832,99161.641
1568493150928,2019-09-14T16:32:30.928,24.967,99160.344
1568493151064,2019-09-14T16:32:31.064,25.103,99161.281
1568493151200,2019-09-14T16:32:31.200,25.239,99154.781
1568493151335,2019-09-14T16:32:31.335,25.374,99155.672
1568493151471,2019-09-14T16:32:31.471,25.510,99160.406
1568493151606,2019-09-14T16:32:31.606,25.645,99158.750
1568493151742,2019-09-14T16:32:31.742,25.781,99154.445
1568493151878,2019-09-14T16:32:31.878,25.917,99160.875
1568493152013,2019-09-14T16:32:32.013,26.052,99157.875
1568493152149,2019-09-14T16:32:32.149,26.188,99161.844
1568493152286,2019-09-14T16:32:32.286,26.325,99160.109
1568493152420,2019-09-14T16:32:32.420,26.459,99157.109
1568493152557,2019-09-14T16:32:32.557,26.596,99156.742
1568493152691,2019-09-14T16:32:32.691,26.730,99156.742
1568493152828,2019-09-14T16:32:32.828,26.867,99158.047
1568493152964,2019-09-14T16:32:32.964,27.003,99149.375
1568493153099,2019-09-14T16:32:33.099,27.138,99157.180
1568493153235,2019-09-14T16:32:33.235,27.274,99154.641
1568493153371,2019-09-14T16:32:33.371,27.410,99157.250
1568493153506,2019-09-14T16:32:33.506,27.545,99154.641
1568493153642,2019-09-14T16:32:33.642,27.681,99153.875
1568493153777,2019-09-14T16:32:33.777,27.816,99151.672
1568493153913,2019-09-14T16:32:33.913,27.952,99150.438
1568493154049,2019-09-14T16:32:34.049,28.088,99155.641
1568493154184,2019-09-14T16:32:34.184,28.223,99153.047
1568493154320,2019-09-14T16:32:34.320,28.359,99154.742
1568493154456,2019-09-14T16:32:34.456,28.495,99156.477
1568493154591,2019-09-14T16:32:34.591,28.630,99153.945
1568493154727,2019-09-14T16:32:34.727,28.766,99155.641
1568493154864,2019-09-14T16:32:34.864,28.903,99157.406
1568493154998,2019-09-14T16:32:34.998,29.037,99160.016
1568493155135,2019-09-14T16:32:35.135,29.174,99160.906
1568493155269,2019-09-14T16:32:35.269,29.308,99157.484
1568493155406,2019-09-14T16:32:35.406,29.445,99157.945
1568493155542,2019-09-14T16:32:35.542,29.581,99152.742
1568493155677,2019-09-14T16:32:35.677,29.716,99158.016
1568493155813,2019-09-14T16:32:35.813,29.852,99150.641
1568493155949,2019-09-14T16:32:35.949,29.988,99154.047
1568493156084,2019-09-14T16:32:36.084,30.123,99149.750
1568493156220,2019-09-14T16:32:36.220,30.259,99148.844
1568493156356,2019-09-14T16:32:36.356,30.395,99155.414
1568493156491,2019-09-14T16:32:36.491,30.530,99157.547
1568493156627,2019-09-14T16:32:36.627,30.666,99161.453
1568493156764,2019-09-14T16:32:36.764,30.803,99162.750
1568493156898,2019-09-14T16:32:36.898,30.937,99160.906
1568493157035,2019-09-14T16:32:37.035,31.074,99168.719
1568493157169,2019-09-14T16:32:37.169,31.208,99171.313
1568493157306,2019-09-14T16:32:37.306,31.345,99162.750
1568493157440,2019-09-14T16:32:37.440,31.479,99162.680
1568493157577,2019-09-14T16:32:37.577,31.616,99165.281
1568493157713,2019-09-14T16:32:37.713,31.752,99155.711
1568493157848,2019-09-14T16:32:37.848,31.887,99157.844
1568493157984,2019-09-14T16:32:37.984,32.023,99160.906
1568493158120,2019-09-14T16:32:38.120,32.159,99160.078
1568493158255,2019-09-14T16:32:38.255,32.294,99163.148
1568493158391,2019-09-14T16:32:38.391,32.430,99168.250
1568493158527,2019-09-14T16:32:38.527,32.566,99158.313
1568493158662,2019-09-14T16:32:38.662,32.701,99164.813
1568493158798,2019-09-14T16:32:38.798,32.837,99159.609
1568493158933,2019-09-14T16:32:38.933,32.972,99162.219
1568493159069,2019-09-14T16:32:39.069,33.108,99164.813
1568493159205,2019-09-14T16:32:39.205,33.244,99152.281
1568493159340,2019-09-14T16:32:39.340,33.379,99159.141
1568493159476,2019-09-14T16:32:39.476,33.515,99163.516
1568493159613,2019-09-14T16:32:39.613,33.652,99160.453
1568493159747,2019-09-14T16:32:39.747,33.786,99161.375
1568493159884,2019-09-14T16:32:39.884,33.923,99160.547
1568493160018,2019-09-14T16:32:40.018,34.057,99162.219
1568493160155,2019-09-14T16:32:40.155,34.194,99164.445
1568493160291,2019-09-14T16:32:40.291,34.330,99165.352
1568493160426,2019-09-14T16:32:40.426,34.465,99154.547
1568493160562,2019-09-14T16:32:40.562,34.601,99160.609
1568493160698,2019-09-14T16:32:40.698,34.737,99156.250
1568493160833,2019-09-14T16:32:40.833,34.872,99160.609
1568493160969,2019-09-14T16:32:40.969,35.008,99159.250
1568493161104,2019-09-14T16:32:41.104,35.143,99159.313
1568493161240,2019-09-14T16:32:41.240,35.279,99159.250
1568493161376,2019-09-14T16:32:41.376,35.415,99158.016
1568493161511,2019-09-14T16:32:41.511,35.550,99158.781
1568493161647,2019-09-14T16:32:41.647,35.686,99159.250
1568493161784,2019-09-14T16:32:41.784,35.823,99161.375
1568493161918,2019-09-14T16:32:41.918,35.957,99159.250
1568493162055,2019-09-14T16:32:42.055,36.094,99161.375
1568493162189,2019-09-14T16:32:42.189,36.228,99163.047
1568493162326,2019-09-14T16:32:42.326,36.365,99160.906
1568493162462,2019-09-14T16:32:42.462,36.501,99160.453
1568493162597,2019-09-14T16:32:42.597,36.636,99155.242
1568493162733,2019-09-14T16:32:42.733,36.772,99156.180
1568493162869,2019-09-14T16:32:42.869,36.908,99161.844
1568493163004,2019-09-14T16:32:43.004,37.043,99157.945
1568493163140,2019-09-14T16:32:43.140,37.179,99160.141
1568493163275,2019-09-14T16:32:43.275,37.314,99157.945
1568493163411,2019-09-14T16:32:43.411,37.450,99161.375
1568493163547,2019-09-14T16:32:43.547,37.586,99156.250
1568493163682,2019-09-14T16:32:43.682,37.721,99162.344
1568493163818,2019-09-14T16:32:43.818,37.857,99150.641
1568493163954,2019-09-14T16:32:43.954,37.993,99152.406
1568493164089,2019-09-14T16:32:44.089,38.128,99159.750
1568493164225,2019-09-14T16:32:44.225,38.264,99157.547
1568493164360,2019-09-14T16:32:44.360,38.399,99160.547
